比赛,年,月,组别,城市,主办方,队伍数,冠军,亚军,季军,高水平,备注,Tournment,Year,Month,Division,City,Holder,NTeams,1st,2nd,3rd,High_Level,Note
亚锦赛AOUGC,2019,7,混合,上海,飞盘文化,11,菲律宾,日本,印度,是,,亚锦赛AOUGC,2019,7,Mixed,ShangHai,飞盘文化,11,PHL ,JPN ,IND,Yes,
上海公开赛,2019,6,公开,上海,SUPA,12,上海出差,北京老炮儿,AOUGC男子,是,冠军原名Puxi Patrol,SH Open,2019,6,Open,ShangHai,SUPA,12,SH Chuchai,BJ Laopaoer,AOUGC Men,Yes,冠军原名Puxi Patrol
上海公开赛,2019,6,女子,上海,SUPA,8,上海塞壬,菲律宾Bad Blood,AOUGC女子,是,,SH Open,2019,6,Women's,ShangHai,SUPA,8,SH Sirens,PHL Bad Blood,AOUGC Women,Yes,
长沙公开赛,2019,6,混合,长沙,长沙飞盘,16,长沙湘北,成都飞盘大,CUT,,,CS Open,2019,6,Mixed,ChangSha,长沙飞盘,16,CS Xiangbei,CD Feipanda,CUT,,
上海青少年赛,2019,5,高中 混合,上海,Jack,16,香港汉基,上海平和,上海包玉刚,是,,SH Youth,2019,5,High School Mixed,ShangHai,Jack,16,HK CIS,SH Pinghe,SH YK Pao,Yes,
CUUA总决赛,2019,5,大学 混合,厦门,CNFD,16,大连理工大学,南京体育学院,河北医科大学,是,又名NCUC,CUUA Champ,2019,5,College Mixed,XiaMen,CNFD,16,Dalian Technology,Nanjing Sport Institute,Hebei Medical,Yes,又名NCUC
天津公开赛,2019,5,混合,天津,天津速必得,11,新十二,天体速必得,U24,,,TJ Open,2019,5,Mixed,TianJin,天津速必得,11,新十二,天体Speed,U24,,
河南邀请赛,2019,5,混合,郑州,西亚斯黄帝,6,河北医路飞,西亚斯黄帝,锡南联队,,,河南Invite,2019,5,Mixed,ZhengZhou,西亚斯黄帝,6,河北医路飞,西亚斯黄帝,锡南联队,,
UIC邀请赛,2019,5,混合,珠海,UIC,6,,,,,,UIC Invite,2019,5,Mixed,ZhuHai,UIC,6,,,,,
深圳邀请赛,2019,4,混合,深圳,深圳飞盘,11,上海乃肥,香港Wo(men)'s,深圳乐奥,是,又名龙岗杯,SZ Invite,2019,4,Mixed,ShenZhen,深圳飞盘,11,SH 乃肥,HK Wo(men)'s,SZ Leao,Yes,又名龙岗杯
同济邀请赛,2019,4,大学 混合,上海,同济飞盘,8,,同济大学,复旦大学,,,Tongji Invite,2019,4,College Mixed,ShangHai,同济飞盘,8,,Tongji,Fundan,,
宁波公开赛,2019,3,混合,宁波,宁波UFO,16,新加坡NYP,大连联邦,,,,NB Open,2019,3,Mixed,NingBo,宁波UFO,16,SGP NYP,DL 联邦,,,
中国公开赛,2018,12,混合,佛山,GUPA,24,北京大哥,宁波BH,香港Junk,是,,China Open,2018,12,Mixed,FoShan,GUPA,24,BJ Big Brother,NB BH,HK Junk,Yes,
常州圣诞赛,2018,12,混合,常州,贝特曼体育,8,,,,,,CZ XMAS,2018,12,Mixed,ChangZhou,贝特曼体育,8,,,,,
CUUA华东,2018,12,大学 混合,上海,CUUA,12,南京师范大学,宁波诺丁汉大学,南京体育学院,,,CUUA East,2018,12,College Mixed,ShangHai,CUUA,12,Nanjing Normal,Nottingham Ningbo,Nanjing Sport Institute,,
CUUA华北,2018,11,大学 混合,天津,CUUA,7,清华大学,河北医科大学,天津体育学院,,,CUUA North,2018,11,College Mixed,TianJin,CUUA,7,Tsinghua,Hebei Medical,Tianjin Sport,,
CUUA华南,2018,11,大学 混合,佛山,CUUA,11,广东工业大学,华南理工大学,广州培正学院,,,CUUA South,2018,11,College Mixed,FoShan,CUUA,11,Guangdong Technology,South China Technology,Guangdong Peizheng College,,
CUUA华中,2018,11,大学 混合,武汉,CUUA,3,湖南大学,中国地质大学,中南大学,,,CUUA Central,2018,11,College Mixed,WuHan,CUUA,3,Hunan,China Geosciences,Central South,,
CUUA华西,2018,11,大学 混合,西安,CUUA,8,成都大学,重庆大学,西安体育学院,,,CUUA West,2018,11,College Mixed,Xi'An,CUUA,8,Chengdu,Chongqing,Xi'an Physical Education,,
武汉公开赛,2018,10,混合,武汉,地大飞盘,11,长沙湘北,广州风暴,CUG&F,是,,WH Open,2018,10,Mixed,WuHan,地大飞盘,11,CS Xiangbei,GZ Storm,CUG&F,Yes,
